Player;Position;Team_Name;Team;League;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;TS%;eFG%;Total S %;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;USG%;PPR;PPS;ORtg;DRtg;eDiff;FIC;PER;PTS_per_40;FGM_per_40;FGA_per_40;FG%_per_40;3PM_per_40;3PA_per_40;3P%_per_40;FTM_per_40;FTA_per_40;FT%_per_40;ORB_per_40;DRB_per_40;REB_per_40;AST_per_40;STL_per_40;BLK_per_40;TOV_per_40;PF_per_40;HT;WT;Nationality;Birth Date;URL;año_ref;Player_League_ID;Class;CSF;Level;Sublevel;Position_Group;TS%_pct_sublevel;eFG%_pct_sublevel;FT%_pct_sublevel;AST%_pct_sublevel;STL%_pct_sublevel;BLK%_pct_sublevel;ORB%_pct_sublevel;DRB%_pct_sublevel;USG%_pct_sublevel;PPS_pct_sublevel;ORtg_pct_sublevel;PER_pct_sublevel;TOV%_pct_sublevel;TS%_pct_league;eFG%_pct_league;FT%_pct_league;AST%_pct_league;STL%_pct_league;BLK%_pct_league;ORB%_pct_league;DRB%_pct_league;USG%_pct_league;PPS_pct_league;ORtg_pct_league;PER_pct_league;TOV%_pct_league
Kevin Punter;SG;Barcelona;FCB;Euroleague;39;27,2;14,8;5,0;10,9;0,456;2,0;4,9;0,414;2,8;3,3;0,866;0,4;1,4;1,8;2,6;1,0;0,0;1,7;1,7;0,6;0,549;173,6;2,1;6,8;4,4;16,3;12,1;2,1;0,1;25,0;0,1;1,4;118,9;118,6;0,4;307,4;16,6;21,8;7,3;16,0;0,456;3,0;7,2;0,414;4,2;4,8;0,866;0,6;2,0;2,6;3,8;1,5;0,0;2,5;2,6;6 2;190;United States;Jun 25, 1993;https://basketball.realgm.com/player/Kevin Punter/Summary/81049;2026;Kevin Punter_Euroleague_Barca_2026;no_data;no_data;L1;L1-B;Guard;69.57;69.57;71.74;34.78;65.22;43.48;41.3;4.35;73.91;84.78;69.57;80.43;32.61;73.44;71.09;74.22;31.25;64.84;38.28;34.38;7.03;72.66;85.94;69.53;75.78;25.78
Johnny Berhanemeskel;SG;Le Mans Sarthe Basket;LEM;French-Jeep-Elite;27;19,6;13,0;4,1;8,7;0,479;2,1;4,6;0,455;2,7;2,9;0,911;0,6;1,4;2,0;1,4;0,5;0,0;0,9;1,6;0,655;0,598;184,5;4,0;9,6;6,7;12,5;8,5;1,3;0,2;25,5;0,1;1,5;132,1;119,5;12,6;196,6;22,3;26,6;8,5;17,7;0,479;4,2;9,3;0,455;5,5;6,0;0,911;1,3;2,8;4,1;2,9;1,0;0,1;1,9;3,3;no_data;no_data;no_data;no_data;no_data;2026;Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;no_data;no_data;L2;L2-B;Guard;91.72;88.46;90.53;24.56;14.79;39.05;69.53;40.83;79.59;92.9;97.04;97.04;7.1;90.11;89.01;85.71;19.78;16.48;39.56;67.03;40.66;82.42;89.01;93.41;94.51;1.1
Jared Rhoden;SG;Paris Basketball;PAR;French-Jeep-Elite;16;19,1;12,5;4,3;9,2;0,469;1,8;5,0;0,363;2,1;2,4;0,846;0,8;2,0;2,8;1,6;0,8;0,3;1,5;2,3;0,609;0,568;167,8;5,2;12,1;8,7;14,0;12,8;2,0;1,5;26,1;-2,3;1,4;122,2;110,5;11,7;111,1;19,8;26,2;9,0;19,3;0,469;3,8;10,5;0,363;4,3;5,1;0,846;1,7;4,2;5,9;3,3;1,6;0,5;3,1;4,7;no_data;no_data;no_data;no_data;no_data;2026;Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;no_data;no_data;L2;L2-A;Guard;82.1;81;75.98;37.83;51.49;87.6;82.57;68.29;87.6;87.28;78.49;86.66;44.27;74.73;81.32;63.74;24.18;58.24;89.01;84.62;62.64;87.91;73.63;74.73;86.81;23.08
Andreas Obst;SG;Bayern Munich;BAY;German-BBL;26;24,0;16,5;5,1;11,3;0,452;2,7;7,1;0,373;3,7;4,1;0,888;0,3;2,0;2,4;2,1;0,8;0,0;1,5;1,3;0,63;0,57;171,3;1,9;10,2;6,3;15,3;10,3;1,9;0,0;28,4;-0,4;1,5;126,9;105,9;21,0;238,6;22,4;27,5;8,5;18,8;0,452;4,4;11,8;0,373;6,1;6,9;0,888;0,6;3,4;4,0;3,5;1,4;0,0;2,5;2,2;6 3;200;Germany;Jul 13, 1996;https://basketball.realgm.com/player/Andreas Obst/Summary/41616;2026;Andreas Obst_German-BBL_Bayern Munich_2026;no_data;no_data;L2;L2-A;Guard;89.17;83.05;87.76;43.64;46.47;25.27;32.18;46.78;93.25;94.82;88.85;94.98;24.49;89.8;86.73;86.73;31.63;43.88;27.55;17.35;46.94;86.73;95.92;91.84;96.94;6.12
Francis Alonso;SG;Rio Breogan;BRE;Spanish-ACB;29;21,8;14,1;4,0;8,9;0,451;2,0;5,0;0,41;4,1;4,6;0,894;0,5;1,4;1,9;1,4;0,7;0,0;1,4;1,8;0,649;0,566;175,5;2,8;8,6;5,7;10,4;11,8;1,6;0,0;25,3;-2,4;1,6;128,2;125,4;2,9;202,8;19,2;25,9;7,4;16,3;0,451;3,7;9,1;0,41;7,5;8,4;0,894;0,9;2,7;3,5;2,5;1,2;0,0;2,7;3,4;6 3 (191cm);185 lbs (84kg);Spain;May 25, 1996;https://basketball.realgm.com/player/Francis Alonso/Summary/41707;2026;Francis Alonso_Spanish-ACB_Rio Breogan_2026;no_data;no_data;L2;L2-B;Guard;89.94;79.59;87.57;17.46;29.29;28.99;46.45;30.47;77.81;96.75;94.08;89.05;19.82;91.35;77.88;84.62;19.23;29.81;34.62;41.35;35.58;77.88;95.19;90.38;88.46;27.88
Cameron Hunt;SG;Joventut Badalona;JOV;Spanish-ACB;27;28,3;16,7;5,6;11,4;0,487;2,0;5,1;0,399;3,6;4,0;0,898;0,6;1,3;1,9;2,9;0,9;0,1;1,9;2,3;0,636;0,576;178,4;2,5;5,4;4,0;18,0;12,3;1,6;0,6;24,7;0,3;1,5;123,4;113,5;9,9;246,0;18,7;23,6;7,8;16,1;0,487;2,9;7,2;0,399;5,1;5,6;0,898;0,8;1,8;2,6;4,1;1,2;0,2;2,6;3,2;6 3 (191cm);175 lbs (79kg);United States;Aug 25, 1997;https://basketball.realgm.com/player/Cameron Hunt/Summary/144192;2026;Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;no_data;no_data;L2;L2-B;Guard;86.09;84.32;88.17;46.45;29.29;63.31;39.94;4.73;74.85;92.9;88.17;86.39;25.15;82.69;83.65;86.54;48.08;29.81;67.31;34.62;6.73;73.08;90.38;81.73;87.5;30.77
Markus Howard;SG;Baskonia;BASK;Spanish-ACB;12;23,1;15,8;4,8;10,6;0,449;2,8;7,4;0,371;3,5;3,8;0,913;0,2;0,7;0,8;1,4;0,8;0,0;2,3;1,8;0,642;0,579;173,3;0,9;3,3;2,2;10,6;16,0;1,8;0,0;28,0;-5,8;1,5;115,2;120,2;-5,0;73,0;16,4;27,3;8,2;18,3;0,449;4,8;12,8;0,371;6,1;6,6;0,913;0,3;1,2;1,4;2,5;1,4;0,0;4,0;3,0;5 11;180;United States Puerto Rico;no_data;https://basketball.realgm.com/player/Markus Howard/Summary/81690;2026;Markus Howard_Spanish-ACB_Baskonia_2026;no_data;no_data;L2;L2-A;Guard;92.15;85.56;91.68;23.39;41.6;25.27;10.05;2.04;92.78;94.82;56.67;68.45;67.03;87.5;85.58;88.46;20.19;40.38;34.62;3.85;0.96;92.31;90.38;52.88;72.12;54.81
Hugo Besson;PG;Tofas SC;TOF;Turkish-BSL;29;23,3;11,8;3,7;8,3;0,442;1,6;4,4;0,359;2,9;3,5;0,832;0,4;2,8;3,2;1,8;0,7;0,1;1,3;1,8;0,601;0,538;163,3;2,5;14,4;8,7;13,2;12,1;1,7;0,3;23,1;-0,6;1,4;114,7;116,7;-2,0;206,6;15,0;20,2;6,3;14,2;0,442;2,7;7,6;0,359;5,0;6,0;0,832;0,8;4,7;5,5;3,1;1,2;0,1;2,3;3,1;6 3 (191cm);196 lbs (89kg);France;Apr 26, 2001;https://basketball.realgm.com/player/Hugo Besson/Summary/127398;2026;Hugo Besson_Turkish-BSL_Tofas SC_2026;no_data;no_data;L2;L2-B;Guard;71.6;66.27;68.34;27.51;34.02;47.63;39.94;82.84;68.64;84.91;67.46;65.98;23.37;71.88;66.67;64.58;26.04;41.67;44.79;50;88.54;61.46;85.42;56.25;63.54;30.21
John Blackwell;SG;Wisconsin;UWISC;NCAA DivisionI;34;33,8;19,0;5,77;13,53;0,43;2,79;7,26;0,39;4,58;5,37;0,85;1,19;3,88;5,07;2,29;1,09;0,1;1,69;2,49;0,59;0,53;166,84;4,48;14,33;9,35;13,33;9,35;1,89;0,3;26,56;-0,4;1,39;121,37;109,43;11,94;393,47;21,19;22,48;6,86;16,02;0,43;3,28;8,56;0,39;5,47;6,37;0,85;1,39;4,58;5,97;2,79;1,29;0,1;1,99;2,89;6 4;203.0;United States;Dec 25, 2004;no_data;2026;John Blackwell_NCAA DivisionI_Wisconsin_2026;Jr;0.9948608604170845;L3;L2-A;Guard;75.51;66.41;78.34;35.32;43.33;40.03;75.35;85.4;89.17;78.02;76.3;91.84;18.37;96.12;91.49;95.53;53.74;53.8;43.78;80.78;89.66;96.23;95.15;95.21;96.66;25.26
Lester Quinones;SG;Osceola Magic;OSC;G-League-Regular_Season;36;31,6;23,3;7,5;15,7;0,477;3,9;9,4;0,41;2,9;3,5;0,841;1,0;4,3;5,2;2,9;1,0;0,3;2,2;3,0;0,674;0,6;172,8;3,5;14,8;9,2;14,1;11,4;1,5;0,8;26,9;-1,0;1,5;121,4;119,3;2,2;528,5;19,1;29,4;9,5;19,9;0,477;4,9;11,9;0,41;3,7;4,4;0,841;1,2;5,4;6,6;3,6;1,2;0,3;2,8;3,8;6-5;208;United States Dominican Republic;Nov 16, 2000 (25 years old);https://basketball.realgm.com/player/Lester-Quinones/Summary/127817;2026;Lester Quinones_G-League-Regular_Season_2026;no_data;no_data;L2;L2-A;Guard;96.7;92.15;75.82;38.46;28.26;66.56;65.31;88.54;90.42;94.82;76.45;83.05;32.65;92.9;89.94;76.92;33.14;22.49;47.93;60.36;86.39;89.94;96.45;86.98;93.49;24.26
Chris Youngblood;SG;Rip City Remix;POR;G-League-Regular_Season;17;34,7;22,9;7,6;16,6;0,457;2,9;9,0;0,327;3,1;3,5;0,867;1,3;5,1;6,4;3,8;1,4;0,3;3,0;4,1;0,631;0,546;165,1;4,2;15,5;10,0;17,1;14,2;2,0;0,8;26,9;-1,3;1,4;109,8;121,4;-11,6;250,8;16,2;26,4;8,7;19,1;0,457;3,4;10,4;0,327;3,5;4,1;0,867;1,5;5,9;7,4;4,4;1,6;0,3;3,5;4,7;6-4 (193cm);221 lbs (100kg);United States;Feb 9, 2002 (24 years old);https://basketball.realgm.com/player/Chris-Youngblood/Summary/151269;2026;Chris Youngblood_G-League-Regular_Season_2026;no_data;no_data;L2;L2-B;Guard;84.62;72.49;80.47;41.72;52.07;72.19;73.08;89.35;85.5;84.91;50.3;72.78;40.83;82.25;64.5;82.84;41.42;49.11;47.93;75.15;88.76;89.94;91.12;45.56;77.51;53.25
